"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","flaggenrahmen src 3"
"21","https://img.a.transfermarkt.technology/portrait/medium/102226-1661413495.jpg?lm=1","Thorgan Hazard","https://www.transfermarkt.us/thorgan-hazard/profil/spieler/102226","Left Winger","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/borussia-dortmund/startseite/verein/16/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280","Bor. Dortmund","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€25.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/102226/transfer_id/2482498",""
"22","https://img.a.transfermarkt.technology/portrait/medium/134294-1674218597.jpg?lm=1","Danny Ings","https://www.transfermarkt.us/danny-ings/profil/spieler/134294","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/fc-southampton/startseite/verein/180/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/180.png?lm=1444560086","Southampton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€25.10m","https://www.transfermarkt.us/jumplist/transfers/spieler/134294/transfer_id/2217976",""
"23","https://img.a.transfermarkt.technology/portrait/medium/41384-1661268772.jpg?lm=1","Marko Arnautovic","https://www.transfermarkt.us/marko-arnautovic/profil/spieler/41384","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569","https://www.transfermarkt.us/shanghai-port/startseite/verein/27190/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/27190.png?lm=1618561127","SH SIPG","https://tmssl.akamaized.net/images/flagge/verysmall/34.png?lm=1520611569","Super League","https://www.transfermarkt.us/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/41384/transfer_id/2543677","https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569"
"24","https://img.a.transfermarkt.technology/portrait/medium/174694-1672838605.jpg?lm=1","Rony Lopes","https://www.transfermarkt.us/rony-lopes/profil/spieler/174694","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/fc-sevilla/startseite/verein/368/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/368.png?lm=1408655455","Sevilla FC","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/174694/transfer_id/2605700","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569"
"25","https://img.a.transfermarkt.technology/portrait/medium/381362-1630503896.jpg?lm=1","Wesley Moraes","https://www.transfermarkt.us/wesley-moraes/profil/spieler/381362","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/aston-villa/startseite/verein/405/saison_id/2019","","Aston Villa","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/381362/transfer_id/2507183",""
"26","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Krzysztof Piatek","https://www.transfermarkt.us/krzysztof-piatek/profil/spieler/327757","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569","https://www.transfermarkt.us/hertha-bsc/startseite/verein/44/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/44.png?lm=1656580875","Hertha BSC","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€24.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/327757/transfer_id/2779348",""
"27","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Paco Alcácer","https://www.transfermarkt.us/paco-alcacer/profil/spieler/126716","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/fc-villarreal/startseite/verein/1050/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1050.png?lm=1408655310","Villarreal","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€23.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/126716/transfer_id/2779387",""
"28","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Raúl de Tomás","https://www.transfermarkt.us/raul-de-tomas/profil/spieler/162038","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/espanyol-barcelona/startseite/verein/714/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/714.png?lm=1406966369","Espanyol","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€22.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/162038/transfer_id/2751098","https://tmssl.akamaized.net/images/flagge/verysmall/43.png?lm=1520611569"
"29","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Victor Osimhen","https://www.transfermarkt.us/victor-osimhen/profil/spieler/401923","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569","https://www.transfermarkt.us/losc-lille/startseite/verein/1082/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1082.png?lm=1529521041","LOSC Lille","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€22.40m","https://www.transfermarkt.us/jumplist/transfers/spieler/401923/transfer_id/2584576",""
"30","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Luka Jović","https://www.transfermarkt.us/luka-jovi%C4%87/profil/spieler/257462","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569","https://www.transfermarkt.us/eintracht-frankfurt/startseite/verein/24/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/24.png?lm=1403806187","E. Frankfurt","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€22.34m","https://www.transfermarkt.us/jumplist/transfers/spieler/257462/transfer_id/2453658","https://tmssl.akamaized.net/images/flagge/verysmall/24.png?lm=1569523290"
