"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href"
"21","https://img.a.transfermarkt.technology/portrait/medium/450406-1580829653.jpg?lm=1","Sebastián Jurado","https://www.transfermarkt.us/sebastian-jurado/profil/spieler/450406","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","https://www.transfermarkt.us/cd-cruz-azul/startseite/verein/3711/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/3711.png?lm=1682067872","CD Cruz Azul","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","Liga MX Clausura","https://www.transfermarkt.us/liga-mx-clausura/transfers/wettbewerb/MEX1/saison_id/2019","€5.42m","https://www.transfermarkt.us/jumplist/transfers/spieler/450406/transfer_id/2729902"
"22","https://img.a.transfermarkt.technology/portrait/medium/190263-1639678492.png?lm=1","Predrag Rajković","https://www.transfermarkt.us/predrag-rajkovi%C4%87/profil/spieler/190263","https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569","https://www.transfermarkt.us/stade-reims/startseite/verein/1421/saison_id/2019","","Stade Reims","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€5.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/190263/transfer_id/2519078"
"23","https://img.a.transfermarkt.technology/portrait/medium/468247-1553769368.jpg?lm=1","Cleiton","https://www.transfermarkt.us/cleiton/profil/spieler/468247","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/red-bull-bragantino/startseite/verein/8793/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/8793.png?lm=1577915313","RB Bragantino","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","Série A","https://www.transfermarkt.us/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019","€5.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/468247/transfer_id/2791351"
"24","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Jesse Joronen","https://www.transfermarkt.us/jesse-joronen/profil/spieler/131758","https://tmssl.akamaized.net/images/flagge/verysmall/49.png?lm=1520611569","https://www.transfermarkt.us/brescia-calcio/startseite/verein/19/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/19.png?lm=1511961167","Brescia","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€5.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/131758/transfer_id/2550151"
"25","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Dani Martín","https://www.transfermarkt.us/dani-martin/profil/spieler/335221","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/real-betis-sevilla/startseite/verein/150/saison_id/2019","","Real Betis","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€5.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/335221/transfer_id/2563730"
"26","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Darren Randolph","https://www.transfermarkt.us/darren-randolph/profil/spieler/51321","https://tmssl.akamaized.net/images/flagge/verysmall/72.png?lm=1520611569","https://www.transfermarkt.us/west-ham-united/startseite/verein/379/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/379.png?lm=1464675260","West Ham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€4.70m","https://www.transfermarkt.us/jumplist/transfers/spieler/51321/transfer_id/2759101"
"27","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Tiago Volpi","https://www.transfermarkt.us/tiago-volpi/profil/spieler/227671","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/fc-sao-paulo/startseite/verein/585/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/585.png?lm=1409133922","São Paulo","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","Série A","https://www.transfermarkt.us/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019","€4.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/227671/transfer_id/2733217"
"28","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","David Ospina","https://www.transfermarkt.us/david-ospina/profil/spieler/73396","https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569","https://www.transfermarkt.us/ssc-neapel/startseite/verein/6195/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Napoli","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€3.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/73396/transfer_id/2509982"
"29","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","David Raya","https://www.transfermarkt.us/david-raya/profil/spieler/262749","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/fc-brentford/startseite/verein/1148/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1148.png?lm=1625150543","Brentford","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€3.35m","https://www.transfermarkt.us/jumplist/transfers/spieler/262749/transfer_id/2541132"
"30","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ralf Fährmann","https://www.transfermarkt.us/ralf-fahrmann/profil/spieler/39015","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/norwich-city/startseite/verein/1123/saison_id/2019","","Norwich","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/39015/transfer_id/2540334"
