"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","flaggenrahmen src 3"
"24","https://img.a.transfermarkt.technology/portrait/medium/293200-1647595523.png?lm=1","Nikola Vlasic","https://www.transfermarkt.us/nikola-vlasic/profil/spieler/293200","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569","https://www.transfermarkt.us/zska-moskau/startseite/verein/2410/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/2410.png?lm=1409222667","CSKA Moscow","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","Premier Liga","https://www.transfermarkt.us/premier-liga/transfers/wettbewerb/RU1/saison_id/2019","€23.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/293200/transfer_id/2513855",""
"25","https://img.a.transfermarkt.technology/portrait/medium/348795-1591195792.jpg?lm=1","Giovani Lo Celso","https://www.transfermarkt.us/giovani-lo-celso/profil/spieler/348795","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/real-betis-sevilla/startseite/verein/150/saison_id/2019","","Real Betis","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€22.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/348795/transfer_id/2452449","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569"
"26","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Thiago Mendes","https://www.transfermarkt.us/thiago-mendes/profil/spieler/135617","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/olympique-lyon/startseite/verein/1041/saison_id/2019","","Olympique Lyon","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€22.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/135617/transfer_id/2535342",""
"27","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Bryan Cristante","https://www.transfermarkt.us/bryan-cristante/profil/spieler/199248","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/as-rom/startseite/verein/12/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/12.png?lm=1533302889","AS Roma","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€22.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/199248/transfer_id/2416643","https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569"
"28","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Stanislav Lobotka","https://www.transfermarkt.us/stanislav-lobotka/profil/spieler/192735","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/154.png?lm=1520611569","https://www.transfermarkt.us/ssc-neapel/startseite/verein/6195/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Napoli","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€21.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/192735/transfer_id/2759257",""
"29","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Amadou Diawara","https://www.transfermarkt.us/amadou-diawara/profil/spieler/355501","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/59.png?lm=1520611569","https://www.transfermarkt.us/as-rom/startseite/verein/12/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/12.png?lm=1533302889","AS Roma","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€21.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/355501/transfer_id/2531330",""
"30","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Julian Weigl","https://www.transfermarkt.us/julian-weigl/profil/spieler/196792","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/benfica-lissabon/startseite/verein/294/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/294.png?lm=1535908439","Benfica","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","Liga NOS","https://www.transfermarkt.us/liga-nos/transfers/wettbewerb/PO1/saison_id/2019","€20.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/196792/transfer_id/2739496",""
"31","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Bruno Guimarães","https://www.transfermarkt.us/bruno-guimaraes/profil/spieler/520624","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/olympique-lyon/startseite/verein/1041/saison_id/2019","","Olympique Lyon","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€20.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/520624/transfer_id/2778549","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"32","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Renato Sanches","https://www.transfermarkt.us/renato-sanches/profil/spieler/258027","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/losc-lille/startseite/verein/1082/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1082.png?lm=1529521041","LOSC Lille","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€20.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/258027/transfer_id/2619662","https://tmssl.akamaized.net/images/flagge/verysmall/145.png?lm=1520611569"
"33","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Nabil Fekir","https://www.transfermarkt.us/nabil-fekir/profil/spieler/203496","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/real-betis-sevilla/startseite/verein/150/saison_id/2019","","Real Betis","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€19.75m","https://www.transfermarkt.us/jumplist/transfers/spieler/203496/transfer_id/2570338","https://tmssl.akamaized.net/images/flagge/verysmall/4.png?lm=1520611569"
