"name","transfer_fee","Position","club","league","detailed_position"
"Luis Muriel","€21.20m","Forward","Atalanta BC","Serie A","Centre-Forward"
"Matteo Politano","€21.10m","Forward","Inter","Serie A","Right Winger"
"Paco Alcácer","€21.00m","Forward","Bor. Dortmund","Bundesliga","Centre-Forward"
"Raphinha","€21.00m","Forward","Rennes","Ligue 1","Right Winger"
"Kasper Dolberg","€20.50m","Forward","OGC Nice","Ligue 1","Centre-Forward"
"Erling Haaland","€20.00m","Forward","Bor. Dortmund","Bundesliga","Centre-Forward"
"Raúl de Tomás","€20.00m","Forward","Benfica","Liga NOS","Centre-Forward"
"Dodi Lukébakio","€20.00m","Forward","Hertha BSC","Bundesliga","Right Winger"
"Maximilian Philipp","€20.00m","Forward","Dinamo Moscow","Premier Liga","Second Striker"
"Youssef En-Nesyri","€20.00m","Forward","Sevilla FC","LaLiga","Centre-Forward"
"Daniel Podence","€19.60m","Forward","Wolves","Premier League","Left Winger"
"Oliver McBurnie","€19.10m","Forward","Sheff Utd","Premier League","Centre-Forward"
"Salomón Rondón","€18.27m","Forward","DL Pro","Super League","Centre-Forward"
"Pablo Sarabia","€18.00m","Forward","Paris SG","Ligue 1","Right Winger"
"Patrick Cutrone","€18.00m","Forward","Wolves","Premier League","Centre-Forward"
"Allan Saint-Maximin","€18.00m","Forward","Newcastle","Premier League","Left Winger"
"Ademola Lookman","€18.00m","Forward","RB Leipzig","Bundesliga","Second Striker"
"Matheus Cunha","€18.00m","Forward","Hertha BSC","Bundesliga","Centre-Forward"
"Martin Braithwaite","€18.00m","Forward","Barcelona","LaLiga","Centre-Forward"
"Pedro Neto","€17.90m","Forward","Wolves","Premier League","Right Winger"
"Daniel James","€17.80m","Forward","Man Utd","Premier League","Right Winger"
"Gabriel Barbosa","€17.50m","Forward","Flamengo","Série A","Centre-Forward"
"Munas Dabbur","€17.00m","Forward","Sevilla FC","LaLiga","Centre-Forward"
"Carlos Vinícius","€17.00m","Forward","Benfica","Liga NOS","Centre-Forward"
"Ché Adams","€16.70m","Forward","Southampton","Premier League","Centre-Forward"
"Andrea Petagna","€16.60m","Forward","SSC Napoli","Serie A","Centre-Forward"
"Arnaut Danjuma","€16.46m","Forward","Bournemouth","Premier League","Left Winger"
"Stephan El Shaarawy","€16.00m","Forward","SH Shenhua","Super League","Left Winger"
"Quincy Promes","€15.70m","Forward","Ajax","Eredivisie","Left Winger"
"Moussa Djenepo","€15.70m","Forward","Southampton","Premier League","Left Winger"
"Neal Maupay","€15.56m","Forward","Brighton","Premier League","Centre-Forward"
"Leandro Trossard","€15.56m","Forward","Brighton","Premier League","Left Winger"
"Darwin Núñez","€15.25m","Forward","UD Almería","LaLiga SmartBank","Centre-Forward"
"Riccardo Orsolini","€15.00m","Forward","Bologna","Serie A","Right Winger"
"Lucas Ocampos","€15.00m","Forward","Sevilla FC","LaLiga","Left Winger"
"M'Baye Niang","€15.00m","Forward","Rennes","Ligue 1","Centre-Forward"
"Moussa Diaby","€15.00m","Forward","B. Leverkusen","Bundesliga","Right Winger"
"Alexander Isak","€15.00m","Forward","Real Sociedad","LaLiga","Centre-Forward"
"Maxi Gómez","€14.50m","Forward","Valencia","LaLiga","Centre-Forward"
"Darío Benedetto","€14.00m","Forward","Marseille","Ligue 1","Centre-Forward"
"Henry Onyekuru","€13.50m","Forward","Monaco","Ligue 1","Left Winger"
"Christopher Nkunku","€13.00m","Forward","RB Leipzig","Bundesliga","Second Striker"
"Luuk de Jong","€12.50m","Forward","Sevilla FC","LaLiga","Centre-Forward"
"Isaac Mbenza","€12.50m","Forward","Huddersfield","Championship","Right Winger"
"Duván Zapata","€12.00m","Forward","Atalanta BC","Serie A","Centre-Forward"
"Andrea Petagna","€12.00m","Forward","SPAL","Serie A","Centre-Forward"
"Hannes Wolf","€12.00m","Forward","RB Leipzig","Bundesliga","Left Winger"
"Simone Zaza","€12.00m","Forward","Torino","Serie A","Centre-Forward"
"Bruma","€12.00m","Forward","PSV Eindhoven","Eredivisie","Left Winger"
"Munas Dabbur","€12.00m","Forward","TSG Hoffenheim","Bundesliga","Centre-Forward"
"Odion Ighalo","Loan fee:","Forward","Man Utd","Premier League","Centre-Forward"
"Tino Kadewere","€12.00m","Forward","Olympique Lyon","Ligue 1","Centre-Forward"
"Ivan Cavaleiro","€11.80m","Forward","Fulham","Championship","Left Winger"
"João Pedro","€11.50m","Forward","Watford","Premier League","Centre-Forward"
"Albian Ajeti","€11.30m","Forward","West Ham","Premier League","Centre-Forward"
"Noah Okafor","€11.20m","Forward","RB Salzburg","Bundesliga","Centre-Forward"
"Lys Mousset","€11.10m","Forward","Sheff Utd","Premier League","Centre-Forward"
"Pedro","€11.00m","Forward","Fiorentina","Serie A","Centre-Forward"
"Breel Embolo","€11.00m","Forward","Bor. M'gladbach","Bundesliga","Centre-Forward"
"Jack Clarke","€11.00m","Forward","Tottenham","Premier League","Left Winger"
"Pedro Neto","€11.00m","Forward","Lazio","Serie A","Right Winger"
"Zé Luís","€10.75m","Forward","FC Porto","Liga NOS","Centre-Forward"
"Ally Samatta","€10.50m","Forward","Aston Villa","Premier League","Centre-Forward"
"Matías Vargas","€10.50m","Forward","Espanyol","LaLiga","Left Winger"
"Brian Rodríguez","€10.45m","Forward","LAFC","MLS","Left Winger"
"Benito Raman","€10.00m","Forward","FC Schalke 04","Bundesliga","Centre-Forward"
"Rémi Oudin","€10.00m","Forward","G. Bordeaux","Ligue 1","Right Winger"
"Jay Rodríguez","€10.00m","Forward","Burnley","Premier League","Centre-Forward"
"Portu","€10.00m","Forward","Real Sociedad","LaLiga","Right Winger"
"Mahmoud Trezeguet","€10.00m","Forward","Aston Villa","Premier League","Left Winger"
"Timothy Weah","€10.00m","Forward","LOSC Lille","Ligue 1","Right Winger"
"Adrián Embarba","€10.00m","Forward","Espanyol","LaLiga","Right Winger"
"Eddie Salcedo","€10.00m","Forward","Inter","Serie A","Centre-Forward"
"Uriel Antuna","€9.90m","Forward","Chivas","Liga MX Clausura","Right Winger"
"Jacob Bruun Larsen","€9.00m","Forward","TSG Hoffenheim","Bundesliga","Left Winger"
"Marcus Thuram","€9.00m","Forward","Bor. M'gladbach","Bundesliga","Centre-Forward"
"Vincent Janssen","€9.00m","Forward","Monterrey","Liga MX Clausura","Centre-Forward"
