"name","transfer_fee","Position","club","league"
"Alberto Mora","€50k","GK","Torino FC Youth","Italy"
"Wojciech Muzyk","€50k","GK","Legia Warszawa","Ekstraklasa"
"Zac MacMath","€45k","GK","Salt Lake","MLS"
"Mohamed Sedki Debchi","€45k","GK","Esperance","Ligue I Pro"
"Marius Gersbeck","€45k","GK","Karlsruher SC","2. Bundesliga"
"Birkan Tetik","€35k","GK","Keciörengücü","1.Lig"
"Soufiane Barrouhou","€34k","GK","Difaâ El Jadida","Botola Pro Inwi"
"Niek Janssen","€28k","GK","PSV Eindhoven Y","Netherlands"
"Azir Muminovic","€25k","GK","FK Tuzla City","Premijer Liga"
"Davis Oss","€25k","GK","Spartaks","Virsliga"
"Ismail Cipe","Loan fee:","GK","Kayserispor","Süper Lig"
"Matteo Marenco","€25k","GK","Giana Erminio","Serie C-A"
"Bruno","Loan fee:","GK","Gil Vicente","Liga NOS"
"Matías Castro","€22k","GK","Defensor","Primera División Clausura"
"Filippo Marricchi","€22k","GK","Novara","Serie C-A"
"Georgiy Kyrnats","€20k","GK","SKA Khabarovsk","FNL"
"Brian Sylvestre","€18k","GK","Miami FC","USLC"
"Vitaliy Botnar","€15k","GK","Torpedo Moscow","FNL"
"Mario Giappone","€15k","GK","Taranto","Serie D - H"
"Tyrick Bodak","€14k","GK","PSV U19","U19 Eredivisie"
"Alexander Sebald","€13k","GK","Hansa Rostock","3. Liga"
"Vasil Simeonov","€10k","GK","Montana","Vtora Liga"
"Vitaliy Sychev","€8k","GK","FK Tambov II","U19 M-Liga"
"Marcel Zapytowski","€5k","GK","Resovia","eWinner 2 liga"
"Andrea D'Aniello","Loan fee:","GK","Cagliari U17","Under 17 - B"
"Mikolaj Smylek","€2k","GK","Pogon Siedlce","eWinner 2 liga"
"Federico Magnolfi","Loan fee:","GK","Bologna Youth","Italy"
"Michele Berardelli","Loan fee:","GK","Scanzorosciate","Serie D - B"
"Guan-Pei Li","€300","GK","Taipei R. Lions","Football Premier League"
