"name","transfer_fee","Position","club","league","detailed_position"
"Jean Marcelin","€10.00m","Defence","Monaco","Ligue 1","Centre-Back"
"Arthur Zagré","€10.00m","Defence","Monaco","Ligue 1","Left-Back"
"Ola Aina","€9.80m","Defence","Torino","Serie A","Right-Back"
"Giovanni Di Lorenzo","€9.80m","Defence","SSC Napoli","Serie A","Right-Back"
"Álex Moreno","€9.70m","Defence","Real Betis","LaLiga","Left-Back"
"Kevin Mbabu","€9.20m","Defence","VfL Wolfsburg","Bundesliga","Right-Back"
"Martin Hinteregger","€9.00m","Defence","E. Frankfurt","Bundesliga","Centre-Back"
"Leandro Cabrera","€9.00m","Defence","Espanyol","LaLiga","Centre-Back"
"Marin Pongracic","€9.00m","Defence","VfL Wolfsburg","Bundesliga","Centre-Back"
"Youssouf Koné","€9.00m","Defence","Olympique Lyon","Ligue 1","Left-Back"
"Tomas Kalas","€9.00m","Defence","Bristol City","Championship","Centre-Back"
"David Luiz","€8.70m","Defence","Arsenal","Premier League","Centre-Back"
"Sebastiaan Bornauw","€8.25m","Defence","1. FC Köln","Bundesliga","Centre-Back"
"Merih Demiral","€8.00m","Defence","Sassuolo","Serie A","Centre-Back"
"Fernando Calero","€8.00m","Defence","Espanyol","LaLiga","Centre-Back"
"Rubén Peña","€8.00m","Defence","Villarreal","LaLiga","Right-Back"
"Ruben Aguilar","€8.00m","Defence","Monaco","Ligue 1","Right-Back"
"Ramy Bensebaini","€8.00m","Defence","Bor. M'gladbach","Bundesliga","Left-Back"
"Jerry St. Juste","€8.00m","Defence","1.FSV Mainz 05","Bundesliga","Centre-Back"
"Björn Engels","€8.00m","Defence","Aston Villa","Premier League","Centre-Back"
"Christopher Jullien","€8.00m","Defence","Celtic","Premiership","Centre-Back"
"Luan Cândido","€8.00m","Defence","RB Leipzig","Bundesliga","Left-Back"
"Joseph Aidoo","€8.00m","Defence","Celta de Vigo","LaLiga","Centre-Back"
"Vyacheslav Karavaev","€8.00m","Defence","Zenit S-Pb","Premier Liga","Right-Back"
"Erick Cabaco","€8.00m","Defence","Getafe","LaLiga","Centre-Back"
"Pablo Marí","Loan fee:","Defence","Arsenal","Premier League","Centre-Back"
"Morato","€7.60m","Defence","Benfica B","LigaPro","Centre-Back"
"Cristian Calderón","€7.20m","Defence","Chivas","Liga MX Clausura","Left-Back"
"Aarón Martín","€7.00m","Defence","1.FSV Mainz 05","Bundesliga","Left-Back"
"Takehiro Tomiyasu","€7.00m","Defence","Bologna","Serie A","Right-Back"
"Marcos Senesi","€7.00m","Defence","Feyenoord","Eredivisie","Centre-Back"
"Lisandro Martínez","€7.00m","Defence","Ajax","Eredivisie","Centre-Back"
"Léo Pereira","€7.00m","Defence","Flamengo","Série A","Centre-Back"
