"name","transfer_fee","Position","club","league","detailed_position"
"Ismaila Soro","€2.30m","Midfield","Celtic","Premiership","Defensive Midfield"
"Francisco Ginella","€2.27m","Midfield","LAFC","MLS","Central Midfield"
"Marko Marin","€2.25m","Midfield","Al-Ahli SFC","Saudi Pro League","Attacking Midfield"
"Shandon Baptiste","€2.25m","Midfield","Brentford","Championship","Central Midfield"
"Stefano Sensi","Loan fee:","Midfield","Inter","Serie A","Central Midfield"
"Matías Rojas","€2.20m","Midfield","Racing Club","Superliga","Attacking Midfield"
"Lucas Fernandes","€2.20m","Midfield","Portimonense","Liga NOS","Central Midfield"
"Tom Bayliss","€2.20m","Midfield","Preston","Championship","Central Midfield"
"Patryk Dziczek","€2.15m","Midfield","Lazio","Serie A","Defensive Midfield"
"Jerdy Schouten","€2.15m","Midfield","Bologna","Serie A","Defensive Midfield"
"Camilo","€2.00m","Midfield","Olympique Lyon","Ligue 1","Central Midfield"
"Marko Grujić","Loan fee:","Midfield","Hertha BSC","Bundesliga","Defensive Midfield"
"Alfred Duncan","Loan fee:","Midfield","Fiorentina","Serie A","Central Midfield"
"Martin Ødegaard","Loan fee:","Midfield","Real Sociedad","LaLiga","Attacking Midfield"
"Marvin Spielmann","€2.00m","Midfield","BSC Young Boys","Super League","Left Midfield"
"Sergey Tkachev","€2.00m","Midfield","Arsenal Tula","Premier Liga","Attacking Midfield"
"Paul-José Mpoku","€2.00m","Midfield","Al-Wahda FC","UAE Pro League","Attacking Midfield"
"Pere Pons","€2.00m","Midfield","Alavés","LaLiga","Defensive Midfield"
"Zaydou Youssouf","€2.00m","Midfield","Saint-Étienne","Ligue 1","Central Midfield"
"Jordan Ferri","€2.00m","Midfield","Montpellier","Ligue 1","Central Midfield"
"Younes Namli","€2.00m","Midfield","Krasnodar","Premier Liga","Attacking Midfield"
"Juan Ramírez","€2.00m","Midfield","San Lorenzo","Superliga","Central Midfield"
"Ibrahima Diallo","€2.00m","Midfield","Stade Brestois","Ligue 1","Defensive Midfield"
"Ádám Nagy","€2.00m","Midfield","Bristol City","Championship","Defensive Midfield"
"Christopher Martins Pereira","€2.00m","Midfield","BSC Young Boys","Super League","Defensive Midfield"
"Esteban Pavez","€2.00m","Midfield","Al-Nasr SC","UAE Pro League","Defensive Midfield"
