"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"SS Lazio","Manuel Lazzari","€15.00m","Defence","Serie A","Right-Back",57,24.4,33,"€291.15m","Serie A",8,38,17,8,13,"56:46",10,59
"SSC Napoli","Amir Rrahmani","€14.20m","Defence","Serie A","Centre-Back",54,24.3,27,"€646.80m","Serie A",2,38,24,7,7,"74:36",38,79
"SSC Napoli","Konstantinos Manolas","€36.00m","Defence","Serie A","Centre-Back",54,24.3,27,"€646.80m","Serie A",2,38,24,7,7,"74:36",38,79
"SSC Napoli","Giovanni Di Lorenzo","€9.80m","Defence","Serie A","Right-Back",54,24.3,27,"€646.80m","Serie A",2,38,24,7,7,"74:36",38,79
"SV Werder Bremen","Marco Friedl","€3.50m","Defence","Bundesliga","Centre-Back",33,25.8,18,"€168.05m","Bundesliga",8,34,14,11,9,"58:49",9,53
"Torino","Cristian Ansaldi","€2.50m","Defence","Serie A","Left-Back",62,23.7,29,"€239.23m","Serie A",7,38,16,15,7,"52:37",15,63
"Torino","Ola Aina","€9.80m","Defence","Serie A","Right-Back",62,23.7,29,"€239.23m","Serie A",7,38,16,15,7,"52:37",15,63
"Torino","Koffi Djidji","€3.00m","Defence","Serie A","Centre-Back",62,23.7,29,"€239.23m","Serie A",7,38,16,15,7,"52:37",15,63
"Valencia CF","Jorge S'aenz","€2.00m","Defence","LaLiga","Centre-Back",33,24.8,17,"€499.65m","LaLiga",4,38,15,16,7,"51:35",16,61
"Valencia CF","Thierry Correia","€12.00m","Defence","LaLiga","Right-Back",33,24.8,17,"€499.65m","LaLiga",4,38,15,16,7,"51:35",16,61
"VfL Wolfsburg","Kevin Mbabu","€9.20m","Defence","Bundesliga","Right-Back",36,25.1,21,"€229.25m","Bundesliga",6,34,16,7,11,"62:50",12,55
"VfL Wolfsburg","Marin Pongracic","€9.00m","Defence","Bundesliga","Centre-Back",36,25.1,21,"€229.25m","Bundesliga",6,34,16,7,11,"62:50",12,55
"Villarreal CF","Ra'ul Albiol","€4.00m","Defence","LaLiga","Centre-Back",32,27.5,12,"€230.65m","LaLiga",14,38,10,14,14,"49:52",-3,44
"Villarreal CF","Rub'en Pe~na","€8.00m","Defence","LaLiga","Right-Back",32,27.5,12,"€230.65m","LaLiga",14,38,10,14,14,"49:52",-3,44
"Watford","Craig Dawson","€6.00m","Defence","Premier League","Centre-Back",39,26.2,32,"€239.10m","Premier League",11,38,14,8,16,"52:59",-7,50
