"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","inline-table src","flaggenrahmen src 3"
"21","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Theo Hernández","https://www.transfermarkt.us/theo-hernandez/profil/spieler/339808","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/ac-mailand/startseite/verein/5/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/5.png?lm=1605166627","AC Milan","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€22.80m","https://www.transfermarkt.us/jumplist/transfers/spieler/339808/transfer_id/2541320","","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"22","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Valentino Lazaro","https://www.transfermarkt.us/valentino-lazaro/profil/spieler/186368","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569","https://www.transfermarkt.us/inter-mailand/startseite/verein/46/saison_id/2019","","Inter","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€22.40m","https://www.transfermarkt.us/jumplist/transfers/spieler/186368/transfer_id/2634748","https://tmssl.akamaized.net/images/wappen/tiny/46_1617091918.png?lm=1617091918",""
"23","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Tyrone Mings","https://www.transfermarkt.us/tyrone-mings/profil/spieler/253677","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/aston-villa/startseite/verein/405/saison_id/2019","","Aston Villa","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€22.30m","https://www.transfermarkt.us/jumplist/transfers/spieler/253677/transfer_id/2544952","https://tmssl.akamaized.net/images/wappen/tiny/405_1469439248.png?lm=1469439249",""
"24","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Adam Webster","https://www.transfermarkt.us/adam-webster/profil/spieler/212847","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1237.png?lm=1492718902","Brighton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€22.22m","https://www.transfermarkt.us/jumplist/transfers/spieler/212847/transfer_id/2587745","",""
"25","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Kieran Trippier","https://www.transfermarkt.us/kieran-trippier/profil/spieler/95810","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/atletico-madrid/startseite/verein/13/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€22.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/95810/transfer_id/2562082","",""
"26","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Luca Pellegrini","https://www.transfermarkt.us/luca-pellegrini/profil/spieler/346567","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/juventus-turin/startseite/verein/506/saison_id/2019","","Juventus","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€22.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/346567/transfer_id/2530947","https://tmssl.akamaized.net/images/wappen/tiny/506_1539955489.png?lm=1539955489",""
"27","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Renan Lodi","https://www.transfermarkt.us/renan-lodi/profil/spieler/476352","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/atletico-madrid/startseite/verein/13/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€21.75m","https://www.transfermarkt.us/jumplist/transfers/spieler/476352/transfer_id/2528638","","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569"
"28","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Edmond Tapsoba","https://www.transfermarkt.us/edmond-tapsoba/profil/spieler/564545","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/29.png?lm=1520611569","https://www.transfermarkt.us/bayer-04-leverkusen/startseite/verein/15/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/15.png?lm=1651221781","B. Leverkusen","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€20.20m","https://www.transfermarkt.us/jumplist/transfers/spieler/564545/transfer_id/2781511","",""
"29","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Junior Firpo","https://www.transfermarkt.us/junior-firpo/profil/spieler/374139","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/43.png?lm=1520611569","https://www.transfermarkt.us/fc-barcelona/startseite/verein/131/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/131.png?lm=1406739548","Barcelona","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€20.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/374139/transfer_id/2588937","","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"30","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Felipe","https://www.transfermarkt.us/felipe/profil/spieler/156501","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/atletico-madrid/startseite/verein/13/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€20.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/156501/transfer_id/2487604","",""
"31","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Merih Demiral","https://www.transfermarkt.us/merih-demiral/profil/spieler/340879","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","https://www.transfermarkt.us/juventus-turin/startseite/verein/506/saison_id/2019","","Juventus","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€19.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/340879/transfer_id/2540427","https://tmssl.akamaized.net/images/wappen/tiny/506_1539955489.png?lm=1539955489",""
"32","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Guillermo Maripán","https://www.transfermarkt.us/guillermo-maripan/profil/spieler/249730","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/33.png?lm=1520611569","https://www.transfermarkt.us/as-monaco/startseite/verein/162/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919","Monaco","https://tmssl.akamaized.net/images/flagge/verysmall/113.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€18.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/249730/transfer_id/2620363","",""
"33","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Matt Targett","https://www.transfermarkt.us/matt-targett/profil/spieler/250478","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/aston-villa/startseite/verein/405/saison_id/2019","","Aston Villa","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€15.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/250478/transfer_id/2531505","https://tmssl.akamaized.net/images/wappen/tiny/405_1469439248.png?lm=1469439249","https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569"
"34","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Manuel Lazzari","https://www.transfermarkt.us/manuel-lazzari/profil/spieler/331401","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/lazio-rom/startseite/verein/398/saison_id/2019","","Lazio","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€15.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/331401/transfer_id/2551486","https://tmssl.akamaized.net/images/wappen/tiny/398_1601537796.png?lm=1601537796",""
"35","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ozan Kabak","https://www.transfermarkt.us/ozan-kabak/profil/spieler/361260","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","https://www.transfermarkt.us/fc-schalke-04/startseite/verein/33/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/33.png?lm=1656580846","FC Schalke 04","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€15.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/361260/transfer_id/2530001","",""
